4966.0,4966.0,4859.0,1.392 59 7963,6978,7096,18314.0
4973.0,4973.0,4866.0,1.39440 7740,6979,7097,17801.0
4980.0,4980.0,4873.0,1. 39614 8044,6981,7099,18502.0
4987.0,4987.0,4880.0,1. 39789 8018,6982,7100,18440.0
4994.0,4994.0,4887.0,1. 39965 7952,6983,7101,18290.0
5001. o,5001.0,4894.0,1.40115 7759,6984,7102,17845.0
5008.0,5008.0,4901. o,1. 403 ·.:2 7914,6985,7103,18202.0
5015.0,5015.0,4908.0,1. 405)3 7755,6986,7104,17836.0
5022.0,5022.0,4915.0,1. 4061;)6 8570,6988,7106,19711.0
5029.0,5029.0,4922.0,1. 408118 9882,6991,7109,22729.0
5036.0,5036.0,4929.0,1. 409 '')3 9656,6994,7112,22208.0
5043.0,5043.0,4936.0,1. 411 J. 6 8569,6996,7114,19708.0
5050.0,5050.0,4943.0,1.41276 8725,6998,7116,20068.0
5057.0,5057.0,4950.0,1.414 ::4 8891,7000,7118,20449.0
5064.0,5064.0,4957.0,1. 415 'H 8904,7002,7120,20479.0
5071. o,5071. o,4964.0,1. 417 1$0 8304,7003,7122,19100.0
5078.0,5078.0,4971.0,1.419 ;;9 18970 ; 8248,7005,7123,
5092.0,5092.0,4985.0,1.42~~80,7877,7007,7126,18116
5099.0,5099.0,4992.0,1.42465,7574,7008,7126,17421
5106.0,5106.0,4999.0,1.42614,7814,7009,7127,17973
5113.0,5113 . 0,5006.0,"1. 428 '.""3",8272,7011,7129,19025
5120.0,5120.0,5013.0,1.429 31,8349,7012,7130,19202
5127.0,5127.0,5020.0,1.43112,8178,7014,7132,18810
5134.0,5134.0,5027.0,1. 433 :U,8275,7015,7133,19033
5141.0,5141. o,5034.0,1.434)5,8052,7016,7134,18520
5148.0,5148.0,5041. o,1. 43669,8053,7018,7135,18521
5155.0,5155.0,5048.0,1.43845,7963,7019,7136,18315
5162.0,5162.0,5055.0,1.440 ~~3,7852,7020,7137,18061
5169.0,5169.0,5062.0,1.44209,7535,7020,7138,17329
5176.0,5176.0,5069.0,1.44394,7568,7021,7138,17406
5183.0,5183.0,5076.0,1.445$2,7464,7022,7139,17167
5190.0,5190.0,5083.0,1.44769,7459,7022,7139,17157
5197.0,5197.0,5090.0,1. 449 ~ 2,8120,7024,7141,18675
5204.0,5204.0,5097.0,1.45105,8573,7025,7142,19718
5211.0,5211. o,5104.0,1. 452130,7985,7026,7143,18366
5218.0,5218.0,5111. o,1.45458,7897,7027,7144,18164
5225.0,5225.0,5118.0,1.45635,7896,7029,7145,18161
5232.0,5232.0,5125.0,1. 4 58 1 6,7741,7029,7146,17803
5239.0,5239.0,5132.0,1.460ù0,7586,7030,7147,17448
5246.0,5246.0,5139.0,1.46191,7334,7031,7147,16868
5253.0,5253.0,5146.0,1.46~lfl6,7196,7031,7147,16551
5260.0,5260.0,5153.0,1.465'/0,7584,7031,7148,17442
5267.0,5267.0,5160.0,1.467?.1,9321,7034,7150,21438
5274.0,5274.0,5167.0,1. 468 ')5,8010,7035,7151,18424
5281. o,5281.0,5174.0,1.47083,7466,7035,7152,17171
5288.0,5288.0,5181. o,1.472 '73,7353,7036,7152,16912
5295.0,5295.0,5188.0,l.474S5,7689,7037,7153,17685
5302.0,5302.0,5195.0,1.4762.6,8187,7038,7154,18830
5309.0,5309.0,5202.0,1.4779 2,8473,7040,7155,19489
5316.0,5316.0,5209.0,1. 479 $9,8373,7041,7157,19258
5323.0,5323.0,5216.0,1.481 ;! 6,7890,7042,7158,18147
5330.0,5330.0,5223 . 0,1.48311,8015,7043,7159,18434
5337.0,5337.0,5230.0,1. 484 8 5,8056,7044,7160,18529
5344.0,5344.0,5237.0,i. 486 Y3,7428,7045,7160,17084
5351. o,5351.0,5244.0,1.48891,7460,7046,7161,17159
5358.0,5358.0,5251. o,1.490 5 4,7244,7046,7161,16661
5365.0,5365.0,5258.0,1.492~6,7281,7046,7161,16746
5372.0,5372.0,5265.0,1.494d3,7117,7046,7161,16369
